feature	logFC	AveExpr	t	P.Value	adj.P.Val	B	name	name_lipid1	name_lipid3	identity	abbreviation	composition	pre_fatty_acid_length	n_doub_bonds	definition	m_z	rt	main_fat_acd_length_num	main_fat_acd_length_fct	definition2
NA_895.30081_6.54	-0.46788293574851003	10.180245389469295	-1.4442014404027776	0.17523476724311815	0.3444200028207662	-5.691584734318212	NA	NA	NA	NA	NA	NA	NA	NA	NA	895.30081	6.54	NA	NA	NA
NA_867.678_10.43	0.6958387088514923	12.188291380223774	1.4641682787443995	0.1698060455659828	0.33568139563275307	-5.6977277305851475	NA	NA	NA	NA	NA	NA	NA	NA	NA	867.678	10.43	NA	NA	NA
NA_898.68531_11.13	0.5148394965797306	11.739164544474383	1.461788354850768	0.17044553262927117	0.33655603437086146	-5.698380962030132	NA	NA	NA	NA	NA	NA	NA	NA	NA	898.68531	11.13	NA	NA	NA
LPC 20:4_543.33181_2.71	0.48532764484803365	15.592859675330716	1.4384084750640653	0.176837015656154	0.34597665835132996	-5.7035267593148875	LPC 20:4	LPC 20:4	LPC 20:4	LPC 20:4	LPC	20:4	20	4	LPC	543.33181	2.71	20	20	LPC 20:4
NA_1135.73215_7.53	0.5714972906745355	11.179861809754602	1.3832914573920425	0.19270783403169506	0.3645016395638263	-5.704226499327811	NA	NA	NA	NA	NA	NA	NA	NA	NA	1135.73215	7.53	NA	NA	NA
PE O-36:4; PE O-16:1 20:3_725.53416_8.86	-0.1830548482934633	14.93504378695221	-1.388869337529714	0.19104937349465506	0.363692199082294	-5.7080199232638185	PE O-36:4; PE O-16:1 20:3	PE 36:4; PE 16:1 20:3	PE 36:4; PE 16:1 20:3	PE O-36:4	PE	O-36:4	36	4	PE	725.53416	8.86	36	36	PE O-36:4
NA_298.24993_3.37	0.47468480683470893	11.00102439165557	1.4182403241535129	0.1825119671400397	0.35303560574766457	-5.714183682272058	NA	NA	NA	NA	NA	NA	NA	NA	NA	298.24993	3.37	NA	NA	NA
NA_627.59515_9.8	0.6132015009925593	11.73622910971585	1.4497081534314702	0.1737230876779756	0.34223648645211335	-5.717512558525639	NA	NA	NA	NA	NA	NA	NA	NA	NA	627.59515	9.8	NA	NA	NA
LPS 18:1_523.29026_2.75	0.5737635013369423	11.76575605358969	1.4445818084111308	0.17512999374645125	0.3444200028207662	-5.724228829280298	LPS 18:1	LPS 18:1	LPS 18:1	LPS 18:1	LPS	18:1	18	1	LPS	523.29026	2.75	18	18	LPS 18:1
PC O-36:4_767.58225_8.92	-0.3690245700831132	16.15328296823932	-1.4013721690475214	0.18737515693578138	0.3591882918589389	-5.725719492015412	PC O-36:4	PC 36:4	PC 36:4	PC O-36:4	PC	O-36:4	36	4	PC	767.58225	8.92	36	36	PC O-36:4
PG 22:6 18:2_818.50792_6.31	0.593171527849248	16.446496471046608	1.4411201386881074	0.17608547573029668	0.34569424430729506	-5.728754851124338	PG 22:6 18:2	PG 22:6 18:2	PG 22:6 18:2	PG 22:6 18:2	PG	22:6 18:2	22	6 18	PG	818.50792	6.31	22	22	PG 22:6 18:2
PC 36:3; PC 18:1 18:2_783.57748_6.93	-0.37154366620184226	12.07947636570665	-1.4366372698329024	0.17732936749975003	0.3465429744731957	-5.731788993271392	PC 36:3; PC 18:1 18:2	PC 36:3	PC 36:3	PC 36:3	PC	36:3	36	3	PC	783.57748	6.93	36	36	PC 36:3
ST 28:1;O;S_480.32665_5.39	0.4179296444414518	12.64515265297773	1.4233764276106131	0.18105241344000675	0.35180605478445	-5.7347836956285185	ST 28:1;O;S	ST 28:1	ST 28:1	ST 28:1	ST	28:1	28	1	ST	480.32665	5.39	28	28	ST 28:1
